fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
